business_id,display_name,brand_name,category,verified,official_domain,domain_used_by_sender,account_age_days,messages_sent_30d,user_reports_30d,domain_used_by_sender_age_days
business_015,Razorpay,Razorpay,payments,1,razorpay.com,razorpay.com,1455,1845,8,1135
business_065,du SIM Verification,du,telecom,0,du.ae,du-simverify.com,27,1195,64,13
business_025,IndiGo,IndiGo,airline,1,goindigo.in,goindigo.in,1825,2275,9,1425
business_075,Citi,Citi,bank,1,citi.com,citi.com,3675,4425,5,2875
business_035,ICICI Security Team,ICICI Bank,bank,0,icicibank.com,icici-secure.net,22,685,44,19
business_085,Careem,Careem,ride_booking,1,careem.com,careem.com,4045,4855,6,3165
business_045,Zomato Gold Rewards,Zomato,food_delivery,0,zomato.com,zomato-gold.in,32,855,74,11
business_095,Polaris School of Technology,Polaris School of Technology,education,1,polaris.school,weurl.co,4415,5285,7,3455
business_105,Zillow,Zillow,real_estate,1,zillow.com,zillow.com,4785,5715,8,3745
business_006,Tata Power,Tata Power,utilities,1,tatapower.com,tatapower.com,1122,1458,8,874
business_056,Revolut,Revolut,fintech,1,revolut.com,revolut.com,2972,3608,4,2324
business_016,CRED,CRED,credit_card,1,cred.club,cred.club,1492,1888,9,1164
business_066,Walmart,Walmart,retail,1,walmart.com,walmart.com,3342,4038,5,2614
business_026,IRCTC,IRCTC,travel,1,irctc.co.in,irctc.co.in,1862,2318,10,1454
business_076,American Express,American Express,credit_card,1,americanexpress.com,americanexpress.com,3712,4468,6,2904
business_036,Amazon Delivery Support,Amazon India,ecommerce_delivery,0,amazon.in,amazonpay-delivery.in,23,702,47,2
business_086,Emirates,Emirates,airline,1,emirates.com,emirates.com,4082,4898,7,3194
business_046,Swiggy One Support,Swiggy,food_delivery,0,swiggy.com,swiggy-refund.in,33,872,77,12
business_096,PVRINOX Cinemas,PVRINOX Cinemas,cinema,1,pvrinox.com,pvrinox.com,4452,5328,8,3484
business_106,AWS Security Hub,AWS,cloud_security,1,aws.amazon.com,aws.amazon.com,4822,5758,9,3774
business_007,Zomato,Zomato,food_delivery,1,zomato.com,zomato.com,1159,1501,9,903
business_057,Nubank,Nubank,fintech,1,nubank.com.br,nubank.com.br,3009,3651,5,2353
business_017,ICICI Bank,ICICI Bank,bank,1,icicibank.com,icicibank.com,1529,1931,10,1193
business_067,Target,Target,retail,1,target.com,target.com,3379,4081,6,2643
business_027,BookMyShow,BookMyShow,events,1,bookmyshow.com,bookmyshow.com,1899,2361,2,1483
business_077,PayPal,PayPal,payments,1,paypal.com,paypal.com,3749,4511,7,2933
business_037,Blinkit Delivery Help,Blinkit,quick_commerce,0,blinkit.com,blinkit-helpdesk.in,24,719,50,3
business_087,Tesco,Tesco,grocery,1,tesco.com,tesco.com,4119,4941,8,3223
business_047,IRCTC Refund Desk,IRCTC,travel,0,irctc.co.in,irctc-refund.in,34,889,10,13
business_097,RazorpayX Global Desk,RazorpayX,payments,0,razorpayx.com,razorpayx-payouts.com,34,1739,20,9
business_107,ClassPass,ClassPass,fitness_wellness,1,classpass.com,classpass.com,4859,5801,10,3803
business_008,Swiggy,Swiggy,food_delivery,1,swiggy.com,swiggy.com,1196,1544,10,932
business_058,Talabat,Talabat,food_delivery,1,talabat.com,talabat.com,3046,3694,6,2382
business_018,State Bank of India,State Bank of India,bank,1,sbi.bank.in,sbi.bank.in,1566,1974,2,1222
business_068,DoorDash,DoorDash,food_delivery,1,doordash.com,doordash.com,3416,4124,7,2672
business_028,Uber,Uber,rides,1,uber.com,uber.com,1936,2404,3,1512
business_078,Zepto,Zepto,quick_commerce,1,zeptonow.com,zeptonow.com,3786,4554,8,2962
business_038,Flipkart Refund Desk,Flipkart,ecommerce,0,flipkart.com,flipkart-refund.in,25,736,53,4
business_088,Deliveroo,Deliveroo,food_delivery,1,deliveroo.com,deliveroo.com,4156,4984,9,3252
business_048,MakeMyTrip Cancellation Desk,MakeMyTrip,travel,0,makemytrip.com,mmt-refund.in,35,906,13,14
business_098,Loan Verification Desk,Unknown,finance,0,,vl.gl,35,1756,23,10
business_108,OpenTable,OpenTable,restaurant_dining,1,opentable.com,opentable.com,4896,5844,2,3832
business_009,Blinkit,Blinkit,quick_commerce,1,blinkit.com,blinkit.com,1233,1587,2,961
business_059,du,du,telecom,1,du.ae,du.ae,3083,3737,7,2411
business_019,Axis Bank,Axis Bank,bank,1,axisbank.com,axisbank.com,1603,2017,3,1251
business_069,Instacart,Instacart,grocery_delivery,1,instacart.com,instacart.com,3453,4167,8,2701
business_029,Ola,Ola,rides,1,olacabs.com,olacabs.com,1973,2447,4,1541
business_079,Urban Company,Urban Company,home_services,1,urbancompany.com,urbancompany.com,3823,4597,9,2991
business_039,Myntra Prize Desk,Myntra,fashion,0,myntra.com,myntragift.in,26,753,56,5
business_089,Monzo,Monzo,fintech,1,monzo.com,monzo.com,4193,5027,10,3281
business_049,LuckyDraw Alerts,Unknown,marketplace,0,,lucky-draw-result.in,36,923,16,15
business_099,ISV Webinar Desk,Unknown,events,0,,shorturl.at,36,1773,26,11
business_109,Marriott Bonvoy,Marriott Bonvoy,hotel,1,marriott.com,marriott.com,4933,5887,3,3861
business_010,BigBasket,BigBasket,grocery,1,bigbasket.com,bigbasket.com,1270,1630,3,990
business_060,Shopee,Shopee,ecommerce,1,shopee.sg,shopee.sg,3120,3780,8,2440
business_020,Kotak Mahindra Bank,Kotak Mahindra Bank,bank,1,kotak.com,kotak.com,1640,2060,4,1280
business_070,FedEx,FedEx,logistics,1,fedex.com,fedex.com,3490,4210,9,2730
business_030,Netflix,Netflix,streaming,1,netflix.com,netflix.com,2010,2490,5,1570
business_080,PharmEasy,PharmEasy,healthcare,1,pharmeasy.in,pharmeasy.in,3860,4640,10,3020
business_040,Paytm KYC Desk,Paytm,payments,0,paytm.com,paytm-kyc.in,27,770,59,6
business_090,Booking.com,Booking.com,travel,1,booking.com,booking.com,4230,5070,2,3310
business_050,Chase,Chase,bank,1,chase.com,chase.com,2750,3350,7,2150
business_100,Firewall Verification Desk,Unknown,security,0,,,12,1790,29,12
business_110,Rakuten,Rakuten,cashback_rewards,1,rakuten.com,rakuten.com,4970,5930,4,3890
